Herb Name ,Scientific Name,Common Name,Active Ingredients,Drug Name ,Drug Class,Enzyme Target,Mechanism Type,Interactiom Type,Clinical Effect,Severity , Evidence Level ,Reference,Clinical Reccomendation,,,,
Triphala,"Polyherbal Ayurvedic formulation consisting of
• Terminalia chebula
• Terminalia bellerica
• Emblica officinalis",Triphala (Three Fruits),"Gallic acid, ellagic acid, chebulagic acid, chebulinic acid (major polyphenols)",Metformin,Biguanide (Oral Hypoglycemic),Glucose metabolism,Pharmacodynamic,Additive,Hypoglycemia,Minor-moderate,Animal studies,https://pubmed.ncbi.nlm.nih.gov/30451392/,Monitor Blood Glucose level,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ashwagandha,Withania somnifera (L.) Dunal,Ashwagandha,"Withanolides, Alkaloids (somniferine, somnine), Saponins, Steroidal lactones, Flavonoids",Amitryptylline,Tricyclic Antidepressant,Cytochrome P450 1A2 (Cyp1A2),Pharmacokinetic and Pharmacodynamic,Enzyme induction (CYP3A4); serotonergic modulation,Possible reduction in amitriptyline plasma levels due to CYP3A4 induction; theoretical enhancement of serotonergic activity without documented serotonin syndrome,Minor,"In-vitro studies, animal studies, limited/conflicting human data",https://www.mdpi.com/2213378,Use with caution; routine dose adjustment not required; monitor clinical response and serotonergic adverse effects,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin,  harmane and norharmane,β-sitosterols and stigmasterols","Amlodipine, Atenolol, Chlorothiazide,Nifedipine,Nicardipine,Telmistartan,Furosemide",Antihypertensive,Inhibits ACE,Pharmacodynamic,Synergistic ,Might increase the risk of hypotension,Moderate,"Animal Studies,  Randomized double-blind placebo-controlled  in prehypertensive individuals","PMID: 33793146,   PMID: 24600195",Monitor Blood Pressure for hypotension,,,,
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin,  harmane and norharmane,β-sitosterols and stigmasterols"," Glimepiride, Gliclazide, Glipizide,Insulin,Metformin,Tolbutamide",Antidiabetic ,"Increased alpha-glucosidase and aldose-reductase activity, antihyperglycemic effect has been attributed to saponins, especially to protodioscin",Pharmacodynamic,Synergistic ,Might Increase the Risk of Hypoglycemia,Moderate," In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","  PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level,,,,
Garlic (bulb),Allium sativum,Lahsun,"Allicin, phytoncide","Saquinavir, warfarin, CYP2D6, and 3A4 substrates (Abemaciclib, acalabrutinib, alectinib, alfentanil, alprazolam, amitriptyline, amlodipine, aprepitant, aripiprazole, astemizole, atorvastatin, boceprevir, brexpiprazole, brigatinib, buspirone, cafergot, caffeine-tmu, carbamazepine, cariprazine, cerivastatin, chlorpheniramine, cilostazol, cisapride, citalopram, clarithromycin, clopidogrel, cobimetinib, cocaine, codeine, codeine-n-demethylation, copanlisib, cyclosporine, daclatasvir, dapsone, deflazacort, dexamethasone, dextromethorphan, diazepam, diltiazem, docetaxel, domperidone, doxepin, efavirenz, elbasvir, eliglustat, eplerenone, erythromycin, escitalopram, esomeprazole, estradiol, felodipine, fentanyl, finasteride, flibanserin, gleevec, haloperidol, hydrocortisone, ibrutinib, idelalisib, indinavir, irinotecan, isavuconazoniun sulfate, ivabradine, laam, lansoprazole, lenvatinib, lercanidipine, lidocaine, lovastatin, methadone, midazolam, naldemedine, naloxegol, nateglinide, nelfinavir, neratinib, netupitant, nevirapine, nifedipine, nisoldipine, nitrendipine, azithromycine, pravastatin, rosuvastatin, olaparib, omeprazole, ondansatran, osimertinib, palbociclib, panobinostat, pantoprazole, primavanserin, pimozide, progesterone, propranolol, quetiapine, quinidine, quinine, regorafenib, ribociclib, risperidone, ritonavir, rolapitant, romidepsin, salmeterol, saquinavir, selexipag, sildenafil, simvastatin, sirolimus, sonidegip, sorafenib, sunitinib, suvorexant, tacrolimus, tamoxifen, taxol, telaprevir, telithromycin, terfenadine, testosterone, torisel, tramadol, trazodone, valbenazine, velpatasvir, vemurafenib, venetoclax, venlafaxine, verapamil, vincristine, voriconazole, zaleplon, ziprasidone, zolpidem)",,"CYP 3A4 and P-gp induction,  induce intestinal CYP3A4 and inhibit hepatic CYP3A4.",Pharmacokinetic ,,increase or decrease levels of drugs metabolized by CYP3A4.Altered plasma drug concentration,Moderate (drug-dependent),"Clinical Trials , In vitro enzyme studies","https://doi.org/10.1016/S0009-9236(03)00148-6,  https://doi.org/10.3389/fphar.2012.00069, 10.1158/1078-0432.CCR-06-0388,",Monitor for altered drug response; avoid high-dose garlic supplements or adjust drug dose if clinically necessary.,,,,
Arjuna,Terminalia arjuna ,"Arjuna, Kakubha"," 70% alcoholic extract, 	Arjunic acid, arjunolic acid, oleanolic acid, terminic acid,Pyrocatechols, punicallin, punicalagin",Phenacetin ,Antihypertensive,could be due to adrenergic ß2-receptor agonistic and/or direct action on the heart,Pharmacodynamic,Synergistic ,Might increase the risk of hypotension,Moderate,"Animal Studies, Invitro Studies","doi: 10.1186/1472-6882-3-5 , doi: 10.6026/9732063002002080",Monitor Blood Pressure for hypotension,,,,
Arjuna,Terminalia arjuna ,"Arjuna, Kakubha","Arjunic acid, arjunolic acid, oleanolic acid, terminic acid,Pyrocatechols, punicallin, punicalagin"," Dacarbazine, chlorzoxazone, estrone, granisetron,
tesmilifene, resveratrol, azimilide, melatonin, tamoxifen,
thalidomide, azelastine, cinnarizine, flunarizine, Acetominaphen, amitryptiline, caffeine, clomipramine,
clozapine, cyclobenzaprine, doxepin, duloxetine,
estradiol, fluvoxamine, haloperidol, imipramine n-deme,
mexiletine, nabumetone, napqi, naproxen, olanzapine,
ondansetron, phenacetin, pirfenidone, propranolol,
riluzole, rucaparib, tacrine, theophylline, tizanidine,
triamterene, verapamil, warfarin, zileuton, zolmitriptan
amiodarone, carvedilol, fluvastatin, amodiaquine,
chloroquine, clenbuterol, daunorubicin, debrisoquine,
estradiol, flutamide, nicotine, omeprazole, phenacetin,
progesterone, riluzole, testosterone, theophylline,
toremifene, erlotinib, pentamidine, tretinoin, dasatinib,
clonidine, banoxantrone, lorcaserin, gefitinib,
dapagliflozin, romidepsin, riociguat, perospirone,
indirubin, testosterone cypionate, testosterone
enanthate, testosterone undecanoate, estradiol acetate,
estradiol benzoate, estradiol cypionate, estradiol
dienanthate, estradiol valerate, warfarin, triclabendazole,
loratadine, solifenacin, haloperidol,
istradefylline, difloxacin",,CYP1A1 and CYP1A2 inhibition,Pharmacokinetic ,"Synergistic , Toxicity","Substrates of CYP1A will not be broken down efficiently, increasing their concentrations in the blood",Moderate,"Animal Studies, Invitro Studies"," PMID: 24843187, https://doi.org/10.1080/01480545.2020.1738454","Monitor for increased drug levels and adverse effects when co-administered with CYP1A1 substrate drugs. Dose adjustment or avoidance may be required, especially for drugs with a narrow therapeutic index.",,,,
Baheda/Bahera,Terminalia bellirica,Bibhitaki,"gallic acid, ellagic acid, chebulagic acid, chebulinic acid, corilagin, and flavonoids.",doxorubicin and cisplatin,Anticancer ,"Tannic acid inhibits tumor cell growth and glutathione conjugate export pumps, thereby enhancing the sensitivity of cancer cells to anticancer drugs.",Pharmacokinetic ,Synergistic ,Beneficial Synergistic effect,Moderate,Invitro Studies," PMID: 18330936 , https://doi.org/10.1016/j.phymed.2020.153278",,,,,
